hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Borough,Sub-Borough Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
short_name,long_name,Queens,Astoria,76150,66456.2028,72023.98965,81276.88505,74119.072,69261.17463,71412.12882,76080.36212,70646.34913,97118.73773,75892.48161,71779.52592,83986.75337,79541
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,Bay Ridge,83930,92974.70624,82349.13235,90519.64711,90159.11998,81240.01208,89592.41276,82627.04115,93049.42548,85261.62703,89233.31791,92265.84566,98894.74603,100507
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Queens,Bayside/Little Neck,93340,92422.96068,93766.71686,96012.61457,95917.91548,86101.30243,96585.93431,91561.42175,82282.05545,90955.69004,90639.55106,93607.21801,79222.59549,95676
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,Bedford Stuyvesant,75080,88094.54776,83517.53866,78895.3999,79813.16193,92575.82772,82007.90495,90858.32814,112726.0324,82172.21667,103732.5375,88642.78957,111591.3542,90255
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,Bensonhurst,61260,71931.50256,71046.09748,69355.53248,59704.75141,59359.09314,78025.65172,71389.46022,76656.51481,71901.87257,75143.68083,84158.38748,92589.75248,85559
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,Borough Park,57950,78127.17124,72562.97585,70471.99872,82390.98552,61638.07151,66606.91341,66710.47515,75797.76751,76720.00676,69689.93268,86598.00196,88942.49664,77753
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,Brooklyn Heights/Fort Greene,107130,105814.8793,125395.6808,127798.2458,138594.7035,133542.9065,117240.628,123523.4723,108014.6421,126245.2107,126591.4403,130526.6479,138109.6251,161056
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,Brownsville/Ocean Hill,44490,69387.2736,66430.34993,67780.64196,65498.2106,71125.48345,69000.68394,68799.17235,70044.37367,63284.54176,81829.32705,84145.91926,62498.61794,76513
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,Bushwick,74860,67293.12023,63257.92783,73431.44664,78718.94457,67203.73204,77882.04759,58466.18797,66978.02784,67758.82396,74156.48205,93292.39553,87853.10952,90795
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Manhattan,Central Harlem,86160,111722.8964,101404.1633,98618.08931,121891.4235,126215.1844,82892.72738,127659.6994,96107.24776,115480.645,105481.1395,95647.84955,135143.1088,132688
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Manhattan,Chelsea/Clinton/Midtown,158180,142608.2489,163641.9964,153615.0768,140613.2862,130729.9701,185672.4186,137630.8452,155733.7168,141039.2591,184490.6488,152243.1651,143566.7514,134569
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,Coney Island,70700,75349.84527,76532.42227,66871.91736,73874.11521,58081.00208,77503.15359,69309.42981,68114.85584,64768.2579,76067.86693,88503.56114,78020.09146,69949
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,East Flatbush,75720,76972.84513,80079.84372,91990.08653,86212.08037,79175.75301,70022.48262,77803.97065,71869.47805,72371.90879,76518.40765,75606.22956,78995.34261,92362
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Manhattan,East Harlem,87470,67078.62139,91680.70765,64787.53757,88494.10707,97788.16708,121853.6348,109339.1816,108203.2256,131551.2572,99894.01453,122190.6057,87631.97107,103320
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,East New York/Starrett City,68010,74416.21739,76024.78651,71725.41196,72559.20565,58376.38312,63117.33285,65887.12978,68017.9005,67505.40398,73210.24152,77918.04481,68354.20108,74944
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Queens,Elmhurst/Corona,67140,72178.23821,63636.54453,69758.24951,63562.82086,68440.92419,62861.05469,56567.07688,64831.15958,67766.1847,60508.98401,56818.7044,63415.78202,71286
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,Flatbush,82200,86326.48222,101384.8707,104981.4826,88122.05006,94976.36675,91154.38393,82528.45638,83304.88102,93514.07513,99568.44897,106197.0002,110349.1064,115677
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,Flatlands/Canarsie,82470,92191.10356,91164.63138,93149.49378,100196.5711,86535.28535,88482.24231,88857.38222,91155.06728,88330.00669,100116.6594,95137.69166,102119.0873,96097
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Queens,Flushing/Whitestone,81750,85469.72675,86008.69186,92569.20987,83101.59131,80804.89308,78365.88307,71532.46231,69359.29362,76987.0967,77826.97114,73619.62696,73348.66906,76417
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Manhattan,Greenwich Village/Financial District,170450,188256.8248,183128.6987,205997.305,150565.2335,175234.8049,155262.5853,138081.5184,191991.8179,157595.6806,157437.2014,218304.9744,183669.2414,187615
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Bronx,Highbridge/South Concourse,53950,58311.44644,62632.12507,52304.47018,59318.82892,49946.66253,64265.06131,55160.88966,60347.77416,64612.6307,54696.06353,56992.22042,57826.17646,72480
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Queens,Hillcrest/Fresh Meadows,82390,78368.94738,92197.9897,89912.67015,71622.13037,81500.17461,83059.52911,92443.26797,96159.45448,81014.47644,82590.73036,91608.1472,85040.473,94280
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Queens,Jackson Heights,69960,72142.28176,74219.72536,73395.46904,74555.83458,69311.16219,73841.24806,69392.8477,65542.87571,80137.4961,74210.04284,74770.85901,82210.51226,78073
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Queens,Jamaica,78060,76811.66104,78116.82465,86706.02128,80865.78286,81998.91415,76567.51739,78652.23305,76288.93687,80590.70776,85727.71202,87646.37121,92767.07087,87755
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Bronx,Kingsbridge Heights/Mosholu,51940,63030.42082,55386.55898,81105.12102,83666.60956,79577.92566,64519.13017,67043.06335,75299.14004,73960.77845,75381.02863,56681.55401,48206.14429,76600
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Manhattan,Lower East Side/Chinatown,68870,78324.31179,85819.38351,110396.692,95883.25178,104519.4467,102602.9477,80701.92968,99010.58076,105350.1551,109797.5087,93702.80768,86089.09727,135573
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Staten Island,Mid-Island,88940,99966.37638,95155.78195,97943.79941,97909.92259,94725.29286,88779.39241,95376.97752,98218.95639,90361.57266,103871.1654,106052.5767,102140.4878,110926
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Queens,Middle Village/Ridgewood,73260,81849.28398,77541.66488,68312.18202,87173.42023,74487.14696,83133.54047,72694.89596,81254.96811,81586.51158,87709.46106,89751.42187,91382.15311,97630
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Manhattan,Morningside Heights/Hamilton Heights,81350,108775.7072,100548.0555,157019.0222,102729.3319,108874.0449,124750.0198,98410.3552,129991.5411,111829.7149,106246.7437,104947.0615,126717.4281,157358
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Bronx,Morrisania/Belmont,72310,62916.35208,58692.82328,54539.72379,77608.55082,68294.36974,67956.79232,61611.15061,66380.31415,70703.12246,72236.69549,68642.7303,69690.20343,91486
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Bronx,Mott Haven/Hunts Point,63380,63247.39942,75227.76218,77813.7507,57507.07303,85861.58935,36043.53414,67559.8209,74372.20437,59298.17189,71444.83604,84745.4327,73270.20058,68700
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,North Crown Heights/Prospect Heights,70740,88147.8625,97422.65901,86816.27522,83693.18506,87035.16096,88672.24163,94182.04339,84748.5567,87597.08667,110951.6911,121483.0344,127502.1129,120279
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Staten Island,North Shore,86810,96350.89311,92322.18563,92154.88716,98985.65265,98744.74723,94818.49876,91681.67351,87280.04999,90450.95315,95892.70883,95161.58908,94202.9422,114627
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Queens,Ozone Park/Woodhaven,72930,90219.69807,83874.45122,82033.57527,76064.86085,87080.6042,80377.44566,79008.65492,81956.0298,83179.58738,85685.70356,91899.07227,84910.03188,92528
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,Park Slope/Carroll Gardens,139350,139201.0651,137612.7012,144587.0198,150687.7119,140371.889,156039.1523,131504.5056,161514.8122,179031.2252,164915.7572,152034.3224,177286.7985,197876
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Bronx,Pelham Parkway,87140,80316.79519,82701.22176,79605.6674,82088.2559,86035.40973,76555.36628,77299.12993,74131.41418,81673.789,90328.68847,80567.54095,78759.93716,94138
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Queens,Queens Village,91750,92343.60851,97708.43022,97237.01361,98159.50121,97979.02868,91998.33441,89975.39857,94742.41489,89879.96955,95105.05023,97245.85937,97994.90616,102695
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Queens,Rego Park/Forest Hills,83180,92835.83994,100488.972,97553.84863,97021.37649,91013.71642,86841.84119,89829.14643,90651.1126,76443.45301,95381.25585,85486.2526,89316.49577,91282
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Bronx,Riverdale/Kingsbridge,88280,89687.79056,102507.4572,98738.78836,86415.44072,91389.75921,95691.17006,96085.48788,88831.33544,93853.72099,97630.80881,101529.731,105971.1765,105306
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Queens,Rockaways,84400,99303.04183,101387.2823,83842.90049,96465.60189,103301.5679,93917.10663,93625.20192,92958.8628,82425.63665,95757.23155,92752.10612,107245.0155,100680
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,Sheepshead Bay/Gravesend,78520,80978.88986,86345.10606,84489.33676,82951.38195,73640.76666,77186.11984,69049.42601,79377.65701,82225.84497,78507.50817,81080.81589,94188.6752,94905
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Bronx,Soundview/Parkchester,74440,61657.87625,67142.96926,76878.33304,69306.59543,75490.30643,74132.87492,60510.46786,73150.1409,74526.50438,76913.28716,71631.98535,79353.0366,77832
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,South Crown Heights,92180,70749.89915,73837.4913,84366.31657,99740.16578,74077.02174,72912.23974,72531.31024,91572.72106,73185.79702,85289.77384,74329.27632,79143.10793,88555
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Bronx,South Ozone Park/Howard Beach,72740,78373.90689,79956.85358,77682.60654,86115.02202,82092.07278,75240.83608,77743.30309,80200.17924,77128.00241,88323.83477,93829.56788,84582.91003,90590
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Staten Island,South Shore,106700,110041.6223,110711.6229,110734.4173,97218.95957,109540.9244,101248.6502,99528.37154,104470.9777,94944.16298,96124.80557,103876.8728,109302.5202,95115
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Manhattan,Stuyvesant Town/Turtle Bay,151810,148481.5494,149376.3462,179559.5703,147201.6995,135677.6026,167593.7622,125514.6681,143916.8851,149683.9299,144078.5115,130811.3389,137027.3715,163429
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Queens,Sunnyside/Woodside,62330,69538.53867,71248.66947,73682.12929,83384.67816,91565.85176,77386.06098,78661.98319,87085.07387,79937.70442,75905.08415,68583.50627,91140.63323,75845
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,Sunset Park,68710,81778.61095,68751.48734,86140.82476,94569.49767,75008.60811,76188.6234,73200.82003,78850.26257,75671.62619,75880.92929,91867.90173,98332.21872,86231
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Bronx,Throgs Neck/Co-op City,70980,77602.70299,72432.751,81148.06203,63277.42309,64707.76221,91708.91684,85329.99733,92751.10135,76101.70408,82055.12251,78541.45567,81198.57455,79620
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Bronx,University Heights/Fordham,77960,67009.18824,73305.73982,64025.04452,89992.73423,86043.3623,62019.31351,55803.31572,76444.49159,85259.52396,57145.15668,75118.93007,68499.92827,51853
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Manhattan,Upper East Side,191610,192069.4486,205510.4923,199326.3613,173125.5229,184713.1282,188640.6057,162518.6256,180198.4259,184865.1424,169307.7416,191234.397,213619.7442,216495
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Manhattan,Upper West Side,222620,227300.5724,217315.134,210320.4201,195164.7013,196242.0776,155466.9451,154077.1689,166078.1058,166317.1133,153663.7915,183126.9388,189348.5253,176975
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Manhattan,Washington Heights/Inwood,110240,75961.10496,84484.57877,104832.9299,85531.51645,110767.8918,89684.09848,90205.06859,97271.77729,96788.55568,104779.5983,104915.8909,114002.4766,106905
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Bronx,Williamsbridge/Baychester,78650,87992.87779,77091.90683,78852.45889,85812.2924,74340.59252,77009.37628,77963.22298,73969.4668,89384.69648,79598.67789,78755.4934,88507.35324,81095
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,Williamsburg/Greenpoint,63730,63438.34058,63802.94295,72067.77946,71221.18695,82189.77574,68168.88458,82837.21089,71280.2879,98463.65122,90157.504,120474.1479,83032.90272,125069
